Product Name,Shopify URL,Search in Admin,Status,Suggested Tags
""Burnt Honey" 1980s Diplomat Sunglasses","https://azyrspecs.com/products/burnt-honey-1980s-diplomat-sunglasses","https://azyrspecs.com/admin/search?q=%22Burnt%20Honey%22%201980s%20Diplomat%20Sunglasses","NEEDS TAGGING","style:aviator | style:square | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Boxer Briefs" 1990s Calvin Klein Sunglasses","https://azyrspecs.com/products/boxer-briefs-1990s-calvin-klein-sunglasses","https://azyrspecs.com/admin/search?q=%22Boxer%20Briefs%22%201990s%20Calvin%20Klein%20Sunglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:modern | vibe:luxury | vibe:classic | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
"“Honeyline Geometry” 1980s Silhouette Eyeglasses","https://azyrspecs.com/products/honeyline-geometry-1980s-silhouette-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CHoneyline%20Geometry%E2%80%9D%201980s%20Silhouette%20Eyeglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
"“Amber Sculpt” 1980s Silhouette Eyeglasses","https://azyrspecs.com/products/amber-sculpt-1980s-silhouette-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CAmber%20Sculpt%E2%80%9D%201980s%20Silhouette%20Eyeglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:modern | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart | face_shape:square | face_shape:heart | face_shape:oval"
"“Golden Contour” 1970s Christian Dior Eyeglasses","https://azyrspecs.com/products/golden-contour-1970s-christian-dior-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CGolden%20Contour%E2%80%9D%201970s%20Christian%20Dior%20Eyeglasses","NEEDS TAGGING","style:square | material:wire | vibe:retro | vibe:luxury | vibe:classic | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
"“Verdant Lineage” 1990s  Selima Optique Eyeglasses","https://azyrspecs.com/products/verdant-lineage-1990s-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CVerdant%20Lineage%E2%80%9D%201990s%20%20Selima%20Optique%20Eyeglasses","NEEDS TAGGING","style:rectangle | material:wire | vibe:retro | vibe:modern | vibe:luxury | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart | face_shape:square | face_shape:heart | face_shape:oval"
"“Blue Mirage” 1990s Metal Vista Sunglasses","https://azyrspecs.com/products/blue-mirage-1990s-metal-vista-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CBlue%20Mirage%E2%80%9D%201990s%20Metal%20Vista%20Sunglasses","NEEDS TAGGING","material:wire | vibe:retro | vibe:luxury | lens:tinted | face_shape:oval | face_shape:square | face_shape:heart | face_shape:oval"
"“Gilded Reverie” 1990s Mariella Burani Sunglasses","https://azyrspecs.com/products/gilded-reverie-1990s-mariella-burani-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CGilded%20Reverie%E2%80%9D%201990s%20Mariella%20Burani%20Sunglasses","NEEDS TAGGING","style:round | material:wire | material:acetate | vibe:retro | vibe:luxury | vibe:trendy | vibe:classic | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
"“Golden Lineage” 1980s Roy Tower Eyeglasses","https://azyrspecs.com/products/golden-lineage-1980s-roy-tower-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CGolden%20Lineage%E2%80%9D%201980s%20Roy%20Tower%20Eyeglasses","NEEDS TAGGING","style:aviator | material:wire | vibe:retro | vibe:luxury | vibe:classic | lens:rx | lens:tinted | face_shape:oval | face_shape:heart | face_shape:square"
"“Amber Architect” 1980s Anacolé Eyeglasses","https://azyrspecs.com/products/amber-architect-1980s-anacole-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CAmber%20Architect%E2%80%9D%201980s%20Anacol%C3%A9%20Eyeglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
"“Golden Reverie” 1980s Christian Lacroix Sunglasses","https://azyrspecs.com/products/golden-reverie-1980s-christian-lacroix-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CGolden%20Reverie%E2%80%9D%201980s%20Christian%20Lacroix%20Sunglasses","NEEDS TAGGING","style:round | material:wire | vibe:retro | vibe:modern | vibe:luxury | vibe:edgy | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
"“Amber Crest” 1980s Martin Eyeglasses","https://azyrspecs.com/products/amber-crest-1980s-martin-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CAmber%20Crest%E2%80%9D%201980s%20Martin%20Eyeglasses","NEEDS TAGGING","style:square | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart | face_shape:square | face_shape:heart | face_shape:oval"
"“Honeycut Wrap” 1960s Optyl Sunglasses","https://azyrspecs.com/products/honeycut-wrap-1960s-optyl-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CHoneycut%20Wrap%E2%80%9D%201960s%20Optyl%20Sunglasses","NEEDS TAGGING","material:acetate | vibe:retro | vibe:luxury | face_shape:square | face_shape:heart | face_shape:oval"
"“Starlight Cat-Eye” 1960s Bedazzled Sunglasses","https://azyrspecs.com/products/starlight-cat-eye-1960s-bedazzled-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CStarlight%20Cat-Eye%E2%80%9D%201960s%20Bedazzled%20Sunglasses","NEEDS TAGGING","style:cat_eye | vibe:retro | vibe:luxury | vibe:edgy | vibe:classic | face_shape:oval | face_shape:heart | face_shape:square"
"“Pop Masquerade” 1960s Urbani Sunglasses","https://azyrspecs.com/products/pop-masquerade-1960s-urbani-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CPop%20Masquerade%E2%80%9D%201960s%20Urbani%20Sunglasses","NEEDS TAGGING","style:cat_eye | vibe:retro | vibe:luxury | vibe:edgy | face_shape:oval | face_shape:heart | face_shape:square"
""Eloquent" 1980s Ellen Tracy Eyeglasses","https://azyrspecs.com/products/eloquent-1980s-ellen-tracy","https://azyrspecs.com/admin/search?q=%22Eloquent%22%201980s%20Ellen%20Tracy%20Eyeglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:modern | vibe:luxury | vibe:classic | lens:rx | lens:tinted | face_shape:oval | face_shape:oval | face_shape:round | face_shape:heart"
""Softness" 1980s SRO USA Eyeglasses","https://azyrspecs.com/products/softness-1980s-sro-usa","https://azyrspecs.com/admin/search?q=%22Softness%22%201980s%20SRO%20USA%20Eyeglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | vibe:classic | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Mahogany Marble" 1990s Giorgio Armani Eyeglasses","https://azyrspecs.com/products/mahogany-marble-1990s-giorgio-armani-eyeglasses","https://azyrspecs.com/admin/search?q=%22Mahogany%20Marble%22%201990s%20Giorgio%20Armani%20Eyeglasses","NEEDS TAGGING","style:rectangle | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | face_shape:oval | face_shape:round | face_shape:heart"
""Bordeaux Dual" 1990s Rapp Eyeglasses","https://azyrspecs.com/products/1990s-rapp-eyeglasses","https://azyrspecs.com/admin/search?q=%22Bordeaux%20Dual%22%201990s%20Rapp%20Eyeglasses","NEEDS TAGGING","style:round | material:wire | vibe:retro | vibe:modern | vibe:luxury | vibe:classic | lens:rx | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
""Golden Round" 1990s Fossil Eyeglasses","https://azyrspecs.com/products/golden-round-1990s-fossil-eyeglasses","https://azyrspecs.com/admin/search?q=%22Golden%20Round%22%201990s%20Fossil%20Eyeglasses","NEEDS TAGGING","style:round | material:wire | vibe:retro | vibe:luxury | vibe:classic | lens:rx | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
""Silver Scholar" 1980s Ralph Lauren Eyeglasses","https://azyrspecs.com/products/silver-scholar-1980s-ralph-lauren-eyeglasses","https://azyrspecs.com/admin/search?q=%22Silver%20Scholar%22%201980s%20Ralph%20Lauren%20Eyeglasses","NEEDS TAGGING","style:round | material:wire | vibe:retro | vibe:luxury | vibe:classic | lens:rx | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
""Crimson Carve" 1990s Mugler Sunglasses","https://azyrspecs.com/products/crimson-carve-1990s-mugler-sunglasses","https://azyrspecs.com/admin/search?q=%22Crimson%20Carve%22%201990s%20Mugler%20Sunglasses","NEEDS TAGGING","style:cat_eye | material:wire | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | vibe:trendy | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Matte Tortoise" 1990s Emporio Armani Sunglasses","https://azyrspecs.com/products/matte-tortoise-1990s-emporio-armani-sunglasses","https://azyrspecs.com/admin/search?q=%22Matte%20Tortoise%22%201990s%20Emporio%20Armani%20Sunglasses","NEEDS TAGGING","style:rectangle | material:acetate | vibe:retro | vibe:modern | vibe:luxury | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Blush Titanium" 1990s Seiko Eyeglasses","https://azyrspecs.com/products/blush-titanium-1990s-seiko-eyeglasses","https://azyrspecs.com/admin/search?q=%22Blush%20Titanium%22%201990s%20Seiko%20Eyeglasses","NEEDS TAGGING","material:wire | vibe:retro | vibe:modern | vibe:luxury | vibe:classic | lens:rx | lens:tinted | face_shape:oval | face_shape:square | face_shape:heart | face_shape:oval"
""Electricity" 1980s Axel S. Eyeglasses","https://azyrspecs.com/products/electricity-1980s-axel-s-eyeglasses","https://azyrspecs.com/admin/search?q=%22Electricity%22%201980s%20Axel%20S.%20Eyeglasses","NEEDS TAGGING","style:cat_eye | vibe:retro | vibe:luxury | lens:rx | face_shape:oval | face_shape:heart | face_shape:square"
""Sandstone Rectangle" 1980s BCG Sunglasses","https://azyrspecs.com/products/sandstone-rectangle-1980s-bcg-sunglasses","https://azyrspecs.com/admin/search?q=%22Sandstone%20Rectangle%22%201980s%20BCG%20Sunglasses","NEEDS TAGGING","style:rectangle | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
"“Cosmic Hex” 1960s Bernard Kayman Sunglasses","https://azyrspecs.com/products/1960s-bernard-kayman-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CCosmic%20Hex%E2%80%9D%201960s%20Bernard%20Kayman%20Sunglasses","NEEDS TAGGING","style:round | style:square | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
"“Golden Orbit” 1960s Verve Sunglasses","https://azyrspecs.com/products/1960s-polaroid-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CGolden%20Orbit%E2%80%9D%201960s%20Verve%20Sunglasses","NEEDS TAGGING","style:round | material:wire | vibe:retro | vibe:luxury | lens:rx | lens:tinted | face_shape:oval | face_shape:square | face_shape:heart | face_shape:oval"
"“Honey Drift” 1980s World of Frames Eyeglasses","https://azyrspecs.com/products/1990s-world-of-frames-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CHoney%20Drift%E2%80%9D%201980s%20World%20of%20Frames%20Eyeglasses","NEEDS TAGGING","style:aviator | style:round | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
"“Midnight Crest” 1980s Valentino Eyeglasses","https://azyrspecs.com/products/1980s-valetino-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CMidnight%20Crest%E2%80%9D%201980s%20Valentino%20Eyeglasses","NEEDS TAGGING","material:wire | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | face_shape:oval | face_shape:heart | face_shape:square"
"“Molten Tortoise” 1980s Dior Sunglasses","https://azyrspecs.com/products/1980s-dior-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CMolten%20Tortoise%E2%80%9D%201980s%20Dior%20Sunglasses","NEEDS TAGGING","material:wire | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | vibe:trendy | vibe:classic | face_shape:oval | face_shape:heart | face_shape:square"
"“Marble Edge” 1990s Versace Eyeglasses","https://azyrspecs.com/products/1990s-versace-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CMarble%20Edge%E2%80%9D%201990s%20Versace%20Eyeglasses","NEEDS TAGGING","style:rectangle | vibe:retro | vibe:modern | vibe:luxury | vibe:edgy | vibe:trendy | lens:rx | face_shape:oval | face_shape:heart | face_shape:square"
"“White Orbit” 1990s Dior Sunglasses","https://azyrspecs.com/products/1990s-dior-homme-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CWhite%20Orbit%E2%80%9D%201990s%20Dior%20Sunglasses","NEEDS TAGGING","style:round | material:wire | vibe:retro | vibe:modern | vibe:luxury | vibe:trendy | face_shape:square | face_shape:heart | face_shape:oval"
