ticker,v,vw,o,c,h,l,t,n,dollar_volume,daily_range,close_position,date,v_ua,vw_ua,o_ua,c_ua,h_ua,l_ua,t_ua,n_ua,dollar_volume_ua,daily_range_ua,close_position_ua,c1,v1,h1,l1,dol_v1,v_avg5,v_avg10,v_avg20,v_surge_5,v_surge_20,price_change,high_change,pdc,high_low,high_pdc,low_pdc,true_range,atr,high_chg,high_chg_atr,high_pct_chg,ema9,ema20,ema50,dist_h_9ema_atr,dist_h_20ema_atr,highest_high_20,lc_optimized
BE,26830167.0,135.3972,129.3,133.71,144.2,122.2201,1761768000000,338038.0,3587461629.57,21.979899999999986,0.5227457813729822,2025-10-29,26830167.0,135.3972,129.3,133.71,144.2,122.2201,1761768000000,338038.0,3587461629.57,21.979899999999986,0.5227457813729822,113.28,12989327.0,113.52,105.84,1471430962.56,14519715.2,17017754.2,16013957.2,1.8478438888388116,1.6754239233260846,0.18034957627118642,0.27295197740112975,113.28,21.979899999999986,30.919999999999987,8.940100000000001,30.919999999999987,10.540799999999999,14.899999999999977,1.413554948391012,0.27295197740112975,104.00160155995029,83.11214416281499,61.32870407363639,3.8136003377399916,5.795371872835554,144.2,1
LUMN,39368789.0,8.9567,8.62,9.36,9.4,8.38,1761595200000,131234.0,368491865.03999996,1.0199999999999996,0.9607843137254892,2025-10-27,39368789.0,8.9567,8.62,9.36,9.4,8.38,1761595200000,131234.0,368491865.03999996,1.0199999999999996,0.9607843137254892,7.79,24219089.0,7.825,7.2,188666703.31,22191078.0,22787622.6,20697732.588235293,1.774081862990162,1.9020822127336519,0.20154043645699615,0.2066752246469834,7.79,1.0199999999999996,1.6100000000000003,0.5900000000000007,1.6100000000000003,0.6681857142857143,0.7800000000000011,1.1673401321275112,0.2066752246469834,7.17503729390715,6.171047410971703,5.245793175630451,3.329856742704114,4.832417874243278,9.4,1
WULF,114841851.0,16.2845,14.64,15.94,17.05,14.63,1761681600000,459177.0,1830579104.94,2.42,0.5413223140495863,2025-10-28,114841851.0,16.2845,14.64,15.94,17.05,14.63,1761681600000,459177.0,1830579104.94,2.42,0.5413223140495863,13.93,32136380.0,13.98,12.73,447659773.4,59241445.8,49441020.6,64212113.7,1.9385389645571414,1.7884764164055231,0.14429289303661164,0.22397702799712849,15.46,2.42,1.5899999999999999,0.8300000000000001,2.42,1.2646071428571426,2.41,1.9057301815922512,0.22397702799712849,12.962771992461649,10.701618288237515,8.171379143937429,3.232014013699169,5.020042586047322,17.05,1
