ticker,v,vw,o,c,h,l,t,n,date,v_ua,vw_ua,o_ua,c_ua,h_ua,l_ua,t_ua,n_ua,pdc,high_low,high_pdc,low_pdc,true_range,atr,h1,c1,o1,l1,v1,dol_v,dol_v1,high_pct_chg,high_chg,high_chg_atr,ema9,ema20,ema50,dist_h_9ema_atr,dist_h_20ema_atr,highest_high_20,lc_simplified
ARQT,12063173.0,24.614,22.5,24.95,25.75,22.0,1761681600000,115513.0,2025-10-28,12063173.0,24.614,22.5,24.95,25.75,22.0,1761681600000,115513.0,19.64,3.75,6.109999999999999,2.3599999999999994,6.109999999999999,0.8858785714285712,20.6,19.64,20.33,19.6,1826475.0,300976166.34999996,35871969.0,0.3110997963340121,3.25,3.6686743587882904,21.160177092815555,20.413527837115026,18.814421140325887,5.181097111066677,6.023931873958028,25.75,1
BBIO,8486846.0,62.7957,57.0,63.56,65.0,56.74,1761595200000,104870.0,2025-10-27,8486846.0,62.7957,57.0,63.56,65.0,56.74,1761595200000,104870.0,54.26,8.259999999999998,10.740000000000002,2.480000000000004,10.740000000000002,1.7166071428571428,55.565,54.26,54.8,54.23,1497545.0,539423931.76,81256791.7,0.19793586435680055,8.0,4.660355768230521,56.323948335114856,55.05797796898411,52.87950156648046,5.054185927739187,5.791669965014977,65.0,1
BE,26830167.0,135.3972,129.3,133.71,144.2,122.2201,1761768000000,338038.0,2025-10-29,26830167.0,135.3972,129.3,133.71,144.2,122.2201,1761768000000,338038.0,113.28,21.979899999999986,30.919999999999987,8.940100000000001,30.919999999999987,11.626678571428572,113.52,113.28,108.0,105.84,12989327.0,3587461629.57,1471430962.56,0.27295197740112975,14.899999999999977,1.2815353850596054,112.09617302357323,102.96617246029662,83.69529100759111,2.7612208232296696,3.5464838290990066,144.2,1
CCJ,24708035.0,104.8475,100.53,106.91,110.155,98.0,1761681600000,328990.0,2025-10-28,24708035.0,104.8475,100.53,106.91,110.155,98.0,1761681600000,328990.0,86.62,12.155000000000001,23.534999999999997,11.379999999999995,23.534999999999997,4.971814285714286,88.98,86.62,87.6,84.285,4116063.0,2641536021.85,356533377.06,0.27170399445855464,9.625,1.9359130182428372,90.79834279964417,88.30715855992031,84.57805726110583,3.8932784066319788,4.3943398092837,110.155,1
CLOV,34311379.0,3.768,3.36,3.82,3.92,3.36,1761336000000,69971.0,2025-10-24,34311379.0,3.768,3.36,3.82,3.92,3.36,1761336000000,69971.0,3.2,0.56,0.7199999999999998,0.1599999999999997,0.7199999999999998,0.2018785714285714,3.215,3.2,3.08,3.05,6649303.0,131069467.78,21277769.6,0.22499999999999987,0.56,2.7739447333970215,3.1320881509866956,2.978079455925449,2.9171573233272543,3.9028998641992225,4.665777736632244,3.92,1
CSIQ,8538860.0,17.8723,16.56,17.57,18.64,16.52,1761768000000,73446.0,2025-10-29,8538860.0,17.8723,16.56,17.57,18.64,16.52,1761768000000,73446.0,15.16,2.120000000000001,3.4800000000000004,1.3599999999999994,3.4800000000000004,1.3479928571428574,15.92,15.16,15.36,15.11,1720753.0,150027770.2,26086615.48,0.2295514511873351,2.080000000000002,1.5430348825502478,15.431058372794773,14.81737413140237,13.762202178062422,2.3805331090601993,2.83579089335821,18.64,1
DVLT,197858112.0,3.0504,2.35,3.42,3.49,2.31,1761336000000,322288.0,2025-10-24,197858112.0,3.0504,2.35,3.42,3.49,2.31,1761336000000,322288.0,2.25,1.1800000000000002,1.2400000000000002,0.06000000000000005,1.2400000000000002,0.4964214285714285,2.43,2.25,2.18,2.1,32609144.0,676674743.04,73370574.0,0.5511111111111111,1.1400000000000001,2.2964359199412945,2.3929542554853724,1.985060423417791,1.3816197394412122,2.2099081171246766,3.0315765798286205,3.49,1
DYN,12671820.0,24.0456,23.4,24.17,24.95,23.0,1761595200000,91645.0,2025-10-27,12671820.0,24.0456,23.4,24.17,24.95,23.0,1761595200000,91645.0,17.12,1.9499999999999993,7.829999999999998,5.879999999999999,7.829999999999998,0.8840714285714288,17.39,17.12,16.77,16.58,1776076.0,306277889.40000004,30406421.12,0.4573598130841121,1.5500000000000007,1.75325199967682,17.843945732163856,16.13769378552797,14.227504620110324,8.037873454771429,9.967866769217775,24.95,1
FLS,10871692.0,67.2187,57.51,68.95,70.32,57.51,1761768000000,128391.0,2025-10-29,10871692.0,67.2187,57.51,68.95,70.32,57.51,1761768000000,128391.0,52.66,12.809999999999995,17.659999999999997,4.850000000000001,17.659999999999997,1.466707142857143,53.84,52.66,53.19,52.37,3741534.0,749603163.4,197029180.44,0.335358906190657,12.809999999999995,8.73384987751961,55.59683683140758,53.91035673592109,53.70257018503722,10.038243312780025,11.188084372530527,70.32,1
HAYW,7883398.0,16.999,17.0,17.17,17.645,16.73,1761768000000,75437.0,2025-10-29,7883398.0,16.999,17.0,17.17,17.645,16.73,1761768000000,75437.0,15.33,0.9149999999999991,2.3149999999999995,1.4000000000000004,2.3149999999999995,0.43313571428571457,15.505,15.33,15.43,15.24,1842951.0,135357943.66000003,28252438.830000002,0.15101108936725383,0.6449999999999996,1.4891406520556059,15.721623632611701,15.508993154039805,15.428707409773194,4.440585950203031,4.931495546338611,17.645,1
