Handle,Title,Style,Material,Face Shapes,Tags
1980s-ray-ban-eyeglasses,“Silver Line” 1980s Ray Ban Eyeglasses,rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
1990s-mugler-eyeglasses,“Ivory Ember” 1990s Mugler Eyeglasses,cat_eye,wire,"heart, oval, round, square, diamond","style:cat_eye, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:rx, lens:tinted, lens:custom"
1990s-bellagio-eyeglasses,“Bronze Linearity” 1990s Bellagio Eyeglasses,rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
1990s-seiko-eyeglasses,“Titanium Minimalist” 1990s Seiko Eyeglasses,aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:custom"
1990s-blinde-sunglasses,“Cinematic Wrap” 1990s Blinde Sunglasses,round,acetate,"heart, square, diamond","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx"
1990s-metal-frame-eyeglasses,“Gunmetal Minimalist” 1990s Eyeglasses,rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
rosewood-1980s-dunhill-pink-sunglasses,"""Rosewood"" 1980s Dunhill Pink Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted, lens:custom"
orb-2000s-vivienne-westwood-frames,"""Orb"" 2000s Vivienne Westwood Frames",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted"
rouge-refine-chanel-sunglasses,"""Rouge Refine"" Chanel Sunglasses",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted, lens:custom"
1980s-missoni,"""Obsidian Charm"" 1980s Missoni Sunglasses",round,wire,"heart, square, diamond","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx"
chrome-eyes-1990s-jean-paul-gaultier,"""Chrome Eyes"" 1990s Jean Paul Gaultier Eyeglasses",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx"
sly-1980s-gucci-sunglasses,"""Sly"" 1980s Gucci Sunglasses",wayfarer,wire,"heart, oval, round, square","style:wayfarer, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, use_case:day, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted"
steel-shade-1996s-chrome-hearts-sunglasses,"""Steel Shade"" 1996s Chrome Hearts Sunglasses",round,wire,"heart, square, diamond","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx"
forest-tint-1990s-vuarnet-sunglasses,"""Forest Tint"" 1990s Vuarnet Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
violet-plaid-1990s-gianfranco-ferre-sunglasses,"""Violet Plaid"" 1990s Gianfranco Ferre Sunglasses",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx"
sapphire-tone-1990s-nero-sunglasses,"""Sapphire Tone"" 1990s Nero Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:blue_light"
azure-round-1990s-kappa-sunglasses,"""Nostalgia"" 1990s Kappa Sunglasses",round,wire,"heart, square, diamond","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx"
iridescent-horizon-1980s-robert-rudger-sunglasses,"""Iridescent Horizon"" 1980s Robert Rudger Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
