Handle,Title,Style,Material,Face Shapes,Tags
crimson-flair-1990s-o-six-sunglasses,"""Crimson Flair"" 1990s O-Six Sunglasses",square,wire,"oval, round","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx"
midnight-mosaic-1990s-missoni-sunglasses,"""Midnight Mosaic"" 1990s Missoni Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx"
cobalt-drive-1990s-polo-sport-sunglasses,"""Cobalt Drive"" 1990s Polo Sport Sunglasses",round,acetate,"heart, square, diamond","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx"
crystal-vision-1990s-pierre-cardin-eyeglasses,"""Crystal Vision"" 1990s Pierre Cardin Eyeglasses",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx"
shadow-wrap-1990s-missoni-sunglasses,"""Shadow Wrap"" 1990s Missoni Sunglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx"
arctic-mirage-1990s-dkny-sunglasses,"""Arctic Mirage"" 1990s DKNY Sunglasses",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx"
smoke-aviator-1980s-safilo-sunglasses,"""Smoke Aviator"" 1980s Safilo Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
sunburst-1980s-playboy-sunglasses,"""Sunburst"" 1980s Playboy Sunglasses",square,wire,"oval, round","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx"
chestnut-lens-1980s-neostyle-sunglasses,"""Chestnut Lens"" 1980s Neostyle Sunglasses",square,wire,"oval, round","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx"
cobalt-aviator-1980s-jaguar-sunglasses,"""Cobalt Aviator"" 1980s Jaguar Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
mocha-classic-1980s-gucci-sunglasses,"""Mocha Classic"" 1980s Gucci Sunglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx"
emerald-half-rim-1980s-dunhill-sunglasses,"""Emerald Half-Rim"" 1980s Dunhill Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx"
amber-havana-1960s-handmade-sunglasses,"""Amber Havana"" 1960s Handmade Sunglasses",square,wire,"oval, round","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx"
solaris-1990s-oliver-by-valentino-sunglasses,"""Solaris"" 1990s Oliver by Valentino Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
amber-vision-1990s-fujiwara-sunglasses,"""Amber Vision"" 1990s Fujiwara Sunglasses",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
athletic-superstar-1980s-polo-sport-sunglasses,"""Athletic Superstar"" 1980s Polo Sport Sunglasses",round,acetate,"heart, square, diamond","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:polarized"
solar-1990s-oliver-sunglasses,"""Solar"" 1990s Oliver Sunglasses",round,,"heart, square, diamond","style:round, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx"
the-find-1990s-diesel-sunglasses,"""The Find"" 1990s Diesel Sunglasses",square,,"oval, round","style:square, vibe:retro, vibe:luxury, vibe:trendy, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted"
perla-2000s-chanel-glasses-frame,"""Perla"" 2000s Chanel Eyeglasses Frame",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
retro-aviator-1970s-pierre-cardin-eyeglasses,"""Retro Aviator"" 1970s Pierre Cardin Eyeglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:custom"
vintage-aviator-2000s-see-eyeglasses,"""Vintage Aviator"" 2000s SEE Eyeglasses",aviator,acetate,"heart, oval, square, diamond","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:custom"
antique-tortoise-1990s-vogue-sunglasses,"""Antique Tortoise"" 1990s Vogue Sunglasses",square,wire,"oval, round","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted, lens:custom"
vintage-noir-1990s-safilo-sunglasses,"""Vintage Noir"" 1990s Safilo Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:polarized"
slither-1990s-jean-paul-gaultier-sunglasses,"""Slither"" 1990s Jean-Paul Gaultier Sunglasses",round,acetate,"heart, square, diamond","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
classic-tortoise-1990s-luxottica-sunglasses,"""Classic Tortoise"" 1990s Luxottica Sunglasses",round,acetate,"heart, square, diamond","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted, lens:custom"
classic-armani-1990s-giorgio-armani-sunglasses,"""Classic Armani"" 1990s Giorgio Armani Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx"
urban-alloy-1990s-attitudes-for-eyes-sunglasses,"""Urban Alloy"" 1990s Attitudes for Eyes Sunglasses",square,wire,"oval, round","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx"
bold-fade-1990s-attitudes-for-eyes-sunglasses,"""Bold Fade"" 1990s Attitudes for Eyes Sunglasses",round,wire,"heart, square, diamond","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx"
smoked-alloy-1980s-wired-sunglasses,"""Smoked Alloy"" 1980s Wired Sunglasses",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
retro-cool-1980s-stetson-sunglasses,"""Retro Cool"" 1980s Stetson Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:custom"
precision-elegance-1980s-marchon-eyeglasses,"""Precision Elegance"" 1980s Marchon Eyeglasses",square,wire,"oval, round","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:custom"
vintage-allure-1980s-lc-basics-sunglasses,"""Vintage Allure"" 1980s LC Basics Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:custom"
vintage-allure-1980s-coyote-vision-sunglasses,"""Vintage Allure"" 1980s Coyote Vision Sunglasses",round,acetate,"heart, square, diamond","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:custom"
refined-utility-1980s-bugle-boy-sunglasses,"""Refined Utility"" 1980s Bugle Boy Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:custom"
vintage-classic-1980s-britallia-springfield-sunglasses,"""Vintage Classic"" 1980s Britallia Springfield Sunglasses",round,wire,"heart, square, diamond","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:custom"
bold-tortoise-1980s-big-and-bad-sunglasses,"""Bold Tortoise"" 1980s Big & Bad Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted, lens:custom"
vintage-utility-1980s-ao-safety-sunglasses,"""Vintage Utility"" 1980s AO Safety Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:custom"
retro-aviator-1980s-accuflex-sunglasses,"""Retro Aviator"" 1980s Accuflex Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:custom"
geometric-charm-1970s-lawrence-eyewear-sunglasses,"""Geometric Charm"" 1970s Lawrence Eyewear Sunglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:polarized, lens:custom"
bold-sophisticate-1970s-firenza-eyeglasses,"""Bold Sophisticate"" 1970s Firenza Glasses Frames",aviator,acetate,"heart, oval, square, diamond","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:custom"
bold-allure-1970s-anne-klein-eyeglass-frame,"""Editorial"" 1980s Anne Klein Eyeglass Frame",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
refined-aviator-1990s-halston-sunglasses,"""Refined Aviator"" 1990s Halston Sunglasses",aviator,acetate,"heart, oval, square, diamond","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:custom"
whimsical-kiss-1990s-la-eyeworks-eyeglasses,"""Playtime"" 1990s LA Eyeworks Eyeglasses",cat_eye,wire,"heart, oval, round, square, diamond","style:cat_eye, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:rx, lens:tinted, lens:custom"
retro-flair-1990s-la-eyeworks-eyeglasses,"""Retro Flair"" 1990s LA Eyeworks Eyeglasses",cat_eye,acetate,"heart, oval, round, square, diamond","style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:rx, lens:custom"
modern-aviator-1990s-dita-sunglasses,"""Modern Aviator"" 1990s Dita Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
geometric-allure-1960s-handmade-sunglasses,"""Geometric Allure"" 1960s Handmade Sunglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted, lens:custom"
black-metal-elegance-1950s-cateye-sunglasses,"""Citron"" 1950s Cateye Sunglasses",cat_eye,wire,"heart, oval, round, square, diamond","style:cat_eye, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:tinted"
classic-tortoise-1990s-carrera-sunglasses,"""Classic Tortoise"" 1990s Carrera Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted, lens:custom"
eternal-edge-2000s-tom-ford-sunglasses,"""Eternal Edge"" 2000s Tom Ford Sunglasses",round,acetate,"heart, square, diamond","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
speed-form-1980s-bugatti-sunglasses,"""Speed Form"" 1980s Bugatti Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
blue-streak-1990s-prince-action-eyewear-sunglasses,"""Blue Streak"" 1990s Prince Action Eyewear Sunglasses",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
frontier-edge-1980s-stetson-sunglasses,"""Frontier Edge"" 1980s Stetson Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
futurist-vision-1980s-luigi-colani-empty-frames,"""Futurist Vision"" 1980s Luigi Colani Empty Frames",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:custom"
pacific-blue-1990s-maui-jim-refined,"""Pacific Blue"" 1990s Maui Jim Refined",rectangle,,"heart, oval, round, diamond","style:rectangle, vibe:retro, vibe:luxury, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:polarized"
golden-hour-1980s-handmade-refined-glasses,"""Golden Hour"" 1980s Handmade Refined Glasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:custom"
orange-blossom-1990s-liz-claiborne-refined-glasses,“Orange Blossom” 1990s Liz Claiborne Refined Glasses,round,wire,"heart, square, diamond","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted, lens:custom"
slice-of-life-2000s-alexander-mcqueen-sunglasses,"""Slice of Life"" 2000s Alexander McQueen Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
modernist-mood-1960s-handmade-sunglasses,"""Modernist Mood"" 1980s Handmade Sunglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted"
stealth-2000s-mugler,"""Stealth"" 2000s Mugler",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
three-dots-2000s-seraphin-frames,"""Three Dots"" 2000s Seraphin Frames",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:custom"
butterfly-1980s-dior-sunglasses,"""Butterfly"" 1980s Dior Sunglasses",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
venusion-1990s-mugler-sunglasses,"""Venusion"" 1990s Mugler Sunglasses",rectangle,,"heart, oval, round, diamond","style:rectangle, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
sharp-brows-1980s-metzler-sunglasses,"""Sharp Brows"" 1980s Metzler Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:custom"
the-intellect-1980s-ysl-frame,"""The Intellect"" 1980s YSL Frame",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:trendy, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted"
orion-1990s-handmade-sunglasses,"""Orion"" 1990s Handmade Sunglasses",square,wire,"oval, round","style:square, material:wire, vibe:retro, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted"
enigma-1980s-emmanuelle-khanh,"""Enigma"" 1980s Emmanuelle Khanh",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:trendy, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:polarized, lens:tinted"
summer-popsicle-1980s-silhouette-refined-glasses,"""Summer Popsicle"" 1980s Silhouette Refined Glasses",aviator,,"heart, oval, square, diamond","style:aviator, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:custom"
sunset-1980s-irma-j-clip-on-sunglasses,"""Sunset"" 1980s Irma-J Clip On Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:custom"
stars-and-stripes-1990s-axel-s-sunglasses,"""Stars and Stripes"" 1990s Axel S Sunglasses",cat_eye,,"heart, oval, round, square, diamond","style:cat_eye, vibe:retro, vibe:luxury, vibe:trendy, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:tinted"
quiet-authority-1990s-seraphin-eyeglass-frames,"""Quiet Authority"" 1990s  Seraphin Eyeglass Frames",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
power-play-1980s-fendi-sunglasses,"""Power Play"" 1980s Fendi Sunglasses",wayfarer,acetate,"heart, oval, round, square","style:wayfarer, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, use_case:day, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx"
decade-defining-1970s-dior-sunglasses,"""Decade Defining"" 1970s Dior Sunglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:trendy, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted"
cinematic-drama-1990s-nouvelle-vague-sunglasses,"""Cinematic Drama"" 1990s Nouvelle Vague Sunglasses",cat_eye,acetate,"heart, oval, round, square, diamond","style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:rx"
throughline-1980s-metzler-light-sunglasses,"""Throughline"" 1980s Metzler Light Sunglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:classic, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted"
the-ode-1980s-ysl-red-sunglasses,"""The Ode"" 1980s YSL Red Sunglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:classic, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:custom"
french-dispatch-1980s-emmanuelle-khanh-sunglasses,"""French Dispatch"" 1980s Emmanuelle Khanh Sunglasses",rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:trendy, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
vintage-1980s-virginia-slims-sunglasses,"""Sex Appeal"" 1990s Virginia Slims Sunglasses",rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:trendy, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:custom"
vintage-1990s-vogue-sunglasses,"""Effortless Allure"" 1990s Vogue Sunglasses",round,acetate,"heart, square, diamond","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
vintage-0000s-cynthia-rowley-sunglasses,"""Fierce Charm"" 1990s Cynthia Rowley Sunglasses",cat_eye,acetate,"heart, oval, round, square, diamond","style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:tinted"
vintage-0000s-sro-sunglasses,"""Golden Status"" 1980s SRO Yellow Sunglasses",square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
vintage-1990s-dolce-gabbana-sunglasses,"""Aviation"" 1990s Dolce Gabbana Sunglasses",aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:custom"
vintage-0000s-columbia-sunglasses,"""Adrenaline"" 2000s Columbia Sunglasses",round,acetate,"heart, square, diamond","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:trendy, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx"
vintage-1990s-nicole-miller-sunglasses,"""Smooch"" 1990s Nicole Miller Sunglasses",cat_eye,acetate,"heart, oval, round, square, diamond","style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:tinted"
